Frequency,Monetary,Recency,Tenure,Average_Order_Value,Churn
2,1825.4,41,164,912.7,0
3,907.25,143,149,302.4166666666667,0
1,361.92,194,194,361.92,0
1,626.88,64,64,626.88,1
1,594.11,213,213,594.11,0
3,877.79,85,151,292.59666666666664,0
6,615.55,16,219,102.59166666666665,0
1,410.94,79,79,410.94,0
2,657.54,97,226,328.77,1
17,9665.0,17,274,568.5294117647059,0
5,4549.6,48,279,909.9200000000001,0
2,1013.75,24,101,506.875,0
13,3984.06,8,239,306.4661538461538,0
6,2687.67,51,271,447.945,0
3,8834.03,10,211,2944.6766666666667,0
3,1892.95,53,246,630.9833333333333,0
8,3671.2599999999998,89,275,458.90749999999997,0
6,1290.06,8,249,215.01,0
3,3210.65,13,246,1070.2166666666667,0
1,298.93,246,246,298.93,1
6,3210.59,3,239,535.0983333333334,0
1,108.39000000000001,15,15,108.39000000000001,0
2,379.74,75,107,189.87,1
5,760.86,71,275,152.172,0
6,1647.8400000000001,16,243,274.64000000000004,0
1,2025.39,246,246,2025.39,1
5,2995.87,5,219,599.174,1
1,73.5,142,142,73.5,1
3,1052.81,44,208,350.93666666666667,1
1,158.5,194,194,158.5,1
2,814.5699999999999,52,235,407.28499999999997,1
1,558.29,22,22,558.29,1
1,1017.68,177,177,1017.68,1
1,278.7,263,263,278.7,1
1,529.2,90,90,529.2,0
2,1431.45,36,100,715.725,0
1,288.83,20,20,288.83,0
4,1829.85,52,183,457.4625,0
1,545.68,52,52,545.68,1
7,927.75,17,241,132.53571428571428,0
6,2744.48,72,243,457.41333333333336,0
1,484.3,4,4,484.3,0
2,266.92,204,235,133.46,0
4,1089.3700000000001,24,222,272.34250000000003,0
3,1095.65,33,246,365.2166666666667,0
1,981.18,40,40,981.18,1
2,716.35,1,96,358.175,1
3,4517.69,172,243,1505.8966666666665,0
11,7874.86,2,271,715.8963636363636,0
2,480.14,83,190,240.07,0
1,544.15,169,169,544.15,0
2,151.79999999999998,107,190,75.89999999999999,1
1,67.19999999999999,76,76,67.19999999999999,1
1,168.0,267,267,168.0,1
7,2113.59,20,239,301.9414285714286,0
1,308.75,61,61,308.75,0
4,9000.960000000001,68,281,2250.2400000000002,0
2,525.71,220,229,262.855,1
1,1292.31,53,53,1292.31,0
1,238.85,212,212,238.85,1
3,1443.23,36,108,481.07666666666665,0
1,402.9,171,171,402.9,1
1,145.92,198,198,145.92,1
9,7165.98,6,279,796.2199999999999,0
15,1645.68,2,162,109.712,0
1,248.35,31,31,248.35,0
1,160.54000000000002,137,137,160.54000000000002,1
1,182.45000000000002,225,225,182.45000000000002,1
4,936.55,5,214,234.1375,0
1,195.89,269,269,195.89,0
1,1412.66,240,240,1412.66,0
1,379.7,156,156,379.7,1
2,351.36,148,198,175.68,1
9,3908.21,16,283,434.24555555555554,0
4,698.59,37,190,174.6475,0
2,1824.1,144,261,912.05,1
1,113.5,54,54,113.5,0
1,9341.26,121,121,9341.26,1
1,368.85,227,227,368.85,1
2,401.6,2,123,200.8,1
3,382.09999999999997,18,128,127.36666666666666,1
7,2399.9,31,232,342.84285714285716,0
1,213.95,152,152,213.95,0
2,1120.81,93,178,560.405,0
3,1422.3799999999999,71,194,474.1266666666666,0
6,731.04,36,214,121.83999999999999,0
8,1720.5600000000002,22,281,215.07000000000002,0
5,487.06,99,242,97.412,1
1,160.5,171,171,160.5,0
2,674.73,96,228,337.365,0
2,1104.25,16,36,552.125,0
3,1336.52,107,172,445.50666666666666,0
1,315.6,187,187,315.6,1
1,580.74,78,78,580.74,0
2,641.3,5,207,320.65,1
4,1535.78,26,163,383.945,0
1,561.66,114,114,561.66,0
15,9223.04,10,275,614.8693333333334,0
1,162.1,142,142,162.1,1
1,269.1,186,186,269.1,1
2,569.13,16,87,284.565,1
2,2413.82,121,229,1206.91,1
6,4288.0,22,236,714.6666666666666,0
4,2493.83,6,50,623.4575,0
3,1732.75,39,197,577.5833333333334,0
1,629.64,64,64,629.64,0
7,5496.9,1,233,785.2714285714285,0
1,366.1,148,148,366.1,1
1,145.9,25,25,145.9,1
1,330.45,17,17,330.45,0
6,3041.64,38,242,506.94,1
1,477.91,39,39,477.91,1
3,1220.8600000000001,19,226,406.9533333333334,0
9,2472.71,36,279,274.74555555555554,0
1,300.05,64,64,300.05,1
3,569.51,17,122,189.83666666666667,1
1,114.0,244,244,114.0,1
1,793.98,241,241,793.98,1
2,2209.85,58,206,1104.925,1
3,301.75,107,205,100.58333333333333,0
3,2514.67,26,143,838.2233333333334,0
7,2437.66,17,283,348.2371428571428,0
3,1757.48,53,232,585.8266666666667,0
1,45.0,234,234,45.0,1
3,2438.4700000000003,169,265,812.8233333333334,0
2,1427.73,60,166,713.865,1
3,1490.47,8,142,496.8233333333333,0
1,225.89999999999998,239,239,225.89999999999998,1
1,220.9,236,236,220.9,0
3,1312.0,1,117,437.3333333333333,0
4,838.0500000000001,33,221,209.51250000000002,0
6,7474.26,10,263,1245.71,0
2,798.38,115,193,399.19,0
1,275.78,23,23,275.78,0
15,8948.58,61,277,596.572,0
20,7373.92,10,281,368.696,0
12,5956.19,2,275,496.34916666666663,0
3,1241.48,80,123,413.82666666666665,0
2,1462.42,2,3,731.21,0
1,71.14,281,281,71.14,1
1,4873.8099999999995,23,23,4873.8099999999995,1
1,475.03,37,37,475.03,0
1,335.01,115,115,335.01,1
3,484.3,55,267,161.43333333333334,0
4,711.91,37,229,177.9775,1
1,385.5,93,93,385.5,0
2,333.90000000000003,17,120,166.95000000000002,0
2,573.91,41,79,286.955,0
2,1951.05,66,125,975.525,0
1,301.08,152,152,301.08,0
3,900.92,15,79,300.3066666666667,0
4,3928.52,68,267,982.13,0
1,603.42,201,201,603.42,1
7,1833.77,11,278,261.96714285714285,0
11,6930.79,6,276,630.0718181818182,0
3,1023.02,6,111,341.00666666666666,1
11,3499.08,16,281,318.0981818181818,0
4,3065.7,16,204,766.425,0
1,263.36,16,16,263.36,1
1,623.9,43,43,623.9,0
2,830.98,61,155,415.49,1
17,3275.84,4,279,192.69647058823531,0
4,1500.91,93,264,375.2275,0
3,929.65,24,60,309.8833333333333,0
2,244.36,83,242,122.18,0
1,371.8,281,281,371.8,1
5,1359.32,94,267,271.864,0
6,2869.7,5,230,478.2833333333333,0
3,527.31,167,242,175.76999999999998,0
1,417.01,23,23,417.01,1
8,11180.25,54,274,1397.53125,0
1,218.26000000000002,89,89,218.26000000000002,1
1,383.95,144,144,383.95,1
1,110.39999999999999,262,262,110.39999999999999,1
2,689.5699999999999,225,247,344.78499999999997,1
1,144.0,242,242,144.0,1
1,137.35,282,282,137.35,1
1,975.54,9,9,975.54,1
2,540.13,44,44,270.065,1
3,8121.13,54,228,2707.0433333333335,0
8,2769.4,19,279,346.175,0
131,13388.49,1,283,102.20221374045802,0
3,2755.23,40,123,918.41,0
1,275.88,38,38,275.88,1
5,16620.91,45,272,3324.182,0
3,3010.74,145,218,1003.5799999999999,1
2,3811.95,190,275,1905.975,1
3,1681.68,52,121,560.5600000000001,0
2,2791.59,26,186,1395.795,1
2,1007.52,81,185,503.76,0
2,494.08,48,279,247.04,1
1,1693.88,226,226,1693.88,1
5,4532.1900000000005,59,276,906.4380000000001,0
1,1143.6,148,148,1143.6,1
1,1351.45,120,120,1351.45,1
4,1074.68,99,221,268.67,0
4,432.06,93,222,108.015,0
7,2999.41,99,281,428.4871428571428,0
1,549.26,194,194,549.26,0
4,1714.67,59,267,428.6675,0
1,255.95,274,274,255.95,1
2,314.65999999999997,1,102,157.32999999999998,0
1,294.92,102,102,294.92,1
1,177.60000000000002,283,283,177.60000000000002,1
1,344.53999999999996,166,166,344.53999999999996,1
2,461.48,244,281,230.74,1
1,317.0,8,8,317.0,0
1,226.03,275,275,226.03,1
1,1607.04,80,80,1607.04,0
1,397.58,96,96,397.58,1
2,253.35,94,278,126.675,0
1,405.31,87,87,405.31,1
2,458.85,171,194,229.425,1
1,85.92,11,11,85.92,1
2,863.46,57,108,431.73,1
2,452.20000000000005,5,86,226.10000000000002,1
1,126.03999999999999,191,191,126.03999999999999,1
1,1182.0800000000002,171,171,1182.0800000000002,1
1,170.46,236,236,170.46,0
1,92.72,124,124,92.72,1
4,1224.0,37,206,306.0,0
4,818.62,88,275,204.655,0
3,415.51,9,40,138.50333333333333,0
2,293.0,246,270,146.5,1
5,6414.32,1,81,1282.864,0
1,215.05,172,172,215.05,1
1,267.8,8,8,267.8,0
1,417.38,55,55,417.38,1
1,312.38,192,192,312.38,1
3,2112.53,47,221,704.1766666666667,0
1,134.1,83,83,134.1,1
1,390.79,283,283,390.79,0
9,3097.39,2,277,344.15444444444444,0
4,2726.77,53,136,681.6925,1
17,2829.91,16,281,166.46529411764706,0
1,310.73,218,218,310.73,0
7,1692.31,69,174,241.75857142857143,0
1,174.88,40,40,174.88,0
4,354.09,177,200,88.5225,1
1,651.2099999999999,178,178,651.2099999999999,0
1,131.81,6,6,131.81,1
1,311.55,204,204,311.55,1
6,1957.1000000000001,44,225,326.18333333333334,1
2,810.37,151,228,405.185,0
1,38.1,282,282,38.1,1
2,1106.4,120,212,553.2,1
1,147.12,48,48,147.12,1
1,981.38,33,33,981.38,0
1,499.12,193,193,499.12,1
6,3015.96,6,270,502.66,0
6,1607.0600000000002,95,283,267.84333333333336,1
1,132.0,117,117,132.0,0
2,599.97,236,275,299.985,1
1,374.0,192,192,374.0,1
2,343.2300000000001,53,272,171.61500000000004,1
1,666.43,106,106,666.43,0
9,1059.23,34,268,117.69222222222223,0
2,854.99,146,176,427.495,1
1,140.5,1,1,140.5,0
1,298.0,185,185,298.0,1
1,645.35,33,33,645.35,0
1,775.0,129,129,775.0,0
2,354.12,124,165,177.06,1
3,331.0,95,202,110.33333333333333,1
2,216.5,114,211,108.25,1
19,11639.470000000001,18,180,612.6036842105264,0
1,138.68,174,174,138.68,1
1,244.69,82,82,244.69,0
2,750.0,86,222,375.0,1
3,1528.37,111,163,509.45666666666665,0
4,1486.9,44,151,371.725,0
3,866.39,192,278,288.7966666666667,0
2,363.65,58,282,181.825,1
4,2944.95,48,230,736.2375,1
1,594.0,38,38,594.0,1
3,441.65,26,79,147.21666666666667,0
24,10083.47,8,283,420.1445833333333,0
1,405.38,71,71,405.38,1
3,647.32,108,237,215.77333333333334,0
3,1136.14,57,269,378.71333333333337,0
1,117.85,221,221,117.85,1
1,221.56,81,81,221.56,0
11,32530.7,11,267,2957.336363636364,0
2,357.49,81,193,178.745,0
4,1535.34,19,229,383.835,0
2,428.23,107,177,214.115,0
4,7990.08,48,244,1997.52,0
3,675.6,41,275,225.20000000000002,1
1,286.95,264,264,286.95,0
1,462.95,198,198,462.95,1
6,1603.99,53,283,267.33166666666665,1
4,1423.96,15,174,355.99,0
7,3449.42,24,162,492.7742857142857,0
5,751.78,83,240,150.356,0
6,1843.36,2,177,307.22666666666663,0
1,108.07,216,216,108.07,1
4,1715.29,96,249,428.8225,0
1,170.54000000000002,23,23,170.54000000000002,0
1,365.8,275,275,365.8,0
2,1660.9,268,281,830.45,1
1,135.95,22,22,135.95,1
2,23.8,232,232,11.9,0
64,8165.320000000001,2,282,127.58312500000001,0
1,144.8,107,107,144.8,1
1,738.6,121,121,738.6,1
1,39.239999999999995,66,66,39.239999999999995,1
9,7374.900000000001,67,268,819.4333333333334,1
1,187.18,43,43,187.18,0
1,390.54,152,152,390.54,1
1,304.3,107,107,304.3,0
1,505.82,202,202,505.82,1
8,4469.14,67,274,558.6425,0
2,263.9,95,220,131.95,0
1,303.56,22,22,303.56,0
3,372.4,30,208,124.13333333333333,0
2,645.47,30,178,322.735,0
2,608.47,146,227,304.235,0
3,455.88,106,155,151.96,1
3,534.85,16,274,178.28333333333333,1
11,8582.57,68,236,780.2336363636364,0
1,120.94999999999999,228,228,120.94999999999999,1
3,149.05,15,124,49.68333333333334,1
12,3785.09,24,267,315.4241666666667,0
2,513.7,83,156,256.85,1
1,229.46999999999997,233,233,229.46999999999997,1
1,50.550000000000004,282,282,50.550000000000004,1
4,1012.3100000000001,58,204,253.07750000000001,0
9,3686.09,2,281,409.5655555555556,0
5,2022.48,23,191,404.496,0
4,1763.04,107,159,440.76,0
1,425.25,33,33,425.25,0
18,5075.71,2,205,281.9838888888889,0
4,1152.47,76,268,288.1175,0
1,291.40000000000003,39,39,291.40000000000003,0
3,604.2,2,185,201.4,0
6,6912.0,23,264,1152.0,1
2,773.1999999999999,48,263,386.59999999999997,0
1,402.36,278,278,402.36,0
1,190.55,267,267,190.55,1
1,165.86,279,279,165.86,0
1,333.0,170,170,333.0,0
3,881.07,48,166,293.69,1
2,591.76,93,200,295.88,0
1,516.42,183,183,516.42,1
1,560.47,201,201,560.47,1
1,305.28000000000003,9,9,305.28000000000003,1
1,197.72,176,176,197.72,0
8,2682.01,37,283,335.25125,0
3,1358.55,23,237,452.84999999999997,0
1,153.78,228,228,153.78,0
13,4505.99,16,276,346.6146153846154,0
1,348.15000000000003,122,122,348.15000000000003,1
1,344.86,123,123,344.86,0
1,47.550000000000004,61,61,47.550000000000004,0
1,183.4,159,159,183.4,1
1,307.53,163,163,307.53,1
1,346.98,101,101,346.98,1
2,659.25,62,237,329.625,0
1,205.86,283,283,205.86,1
1,165.0,229,229,165.0,0
20,3870.02,9,279,193.501,0
1,228.8,102,102,228.8,1
1,177.15,176,176,177.15,1
1,919.61,39,39,919.61,1
3,576.19,200,276,192.06333333333336,0
15,6917.150000000001,16,276,461.1433333333334,0
2,59.5,1,50,29.75,0
1,58.08,89,89,58.08,1
8,18870.12,53,281,2358.765,0
9,3613.63,36,248,401.51444444444445,1
2,416.08000000000004,67,205,208.04000000000002,1
71,43260.74,9,279,609.3061971830986,0
8,4897.02,46,282,612.1275,0
4,439.75,121,269,109.9375,0
8,7832.47,185,283,979.05875,1
10,1545.72,39,278,154.572,0
8,4636.51,32,270,579.56375,0
18,15169.46,4,227,842.7477777777777,0
1,207.35999999999999,9,9,207.35999999999999,1
1,101.19,144,144,101.19,1
19,4961.7,43,275,261.1421052631579,0
3,376.44,43,264,125.48,0
1,76.5,43,43,76.5,1
2,935.22,85,243,467.61,0
1,350.06,282,282,350.06,1
1,369.85,67,67,369.85,0
5,1042.24,47,221,208.448,0
20,10787.06,23,276,539.353,0
1,878.55,94,94,878.55,0
1,501.14,48,48,501.14,1
7,841.77,31,282,120.25285714285714,0
3,799.7,118,198,266.56666666666666,0
1,30.599999999999998,148,148,30.599999999999998,1
1,283.73,179,179,283.73,1
2,922.39,4,150,461.195,1
2,2516.47,162,269,1258.235,0
5,1077.42,163,276,215.484,0
1,64.0,4,4,64.0,1
1,324.9,97,97,324.9,0
1,77.3,171,171,77.3,1
2,109.8,183,214,54.9,1
3,885.74,93,150,295.24666666666667,0
1,3096.0,106,106,3096.0,1
3,1226.68,52,122,408.8933333333334,0
5,1888.32,2,218,377.664,0
3,489.45,43,282,163.15,0
3,1710.94,19,169,570.3133333333334,0
3,422.47,18,276,140.82333333333335,1
4,1401.03,124,225,350.2575,0
1,110.95,242,242,110.95,1
3,499.72,1,282,166.57333333333335,0
1,118.80000000000001,9,9,118.80000000000001,0
10,2766.01,43,274,276.601,0
3,1132.62,16,199,377.53999999999996,0
1,1257.8700000000001,205,205,1257.8700000000001,1
2,569.2,236,278,284.6,0
3,873.1999999999999,51,208,291.06666666666666,0
4,1201.06,4,228,300.265,1
2,843.09,16,25,421.545,0
1,112.75,223,223,112.75,1
4,1688.29,32,244,422.0725,1
1,354.64,261,261,354.64,0
1,417.2,193,193,417.2,1
2,417.55,40,53,208.775,0
3,953.0600000000001,109,228,317.68666666666667,0
1,505.2,162,162,505.2,0
1,140.35,209,209,140.35,0
1,165.94,277,277,165.94,0
2,2030.06,226,279,1015.03,0
8,4391.7300000000005,43,270,548.9662500000001,0
6,2394.98,11,244,399.16333333333336,0
9,1471.1,40,200,163.45555555555555,0
1,71.4,177,177,71.4,1
2,1301.94,3,38,650.97,0
1,236.02,247,247,236.02,1
1,127.0,25,25,127.0,0
2,911.94,5,115,455.97,1
1,60.7,45,45,60.7,1
1,512.13,172,172,512.13,0
5,3009.18,30,271,601.836,0
21,4725.16,2,276,225.00761904761904,0
1,319.32,36,36,319.32,0
2,309.86,30,152,154.93,0
1,197.52000000000004,60,60,197.52000000000004,0
4,828.8199999999999,65,219,207.20499999999998,0
5,4156.08,38,271,831.216,0
1,353.48,3,3,353.48,1
2,784.64,5,271,392.32,0
4,963.88,38,109,240.97,0
1,333.74,177,177,333.74,1
3,533.98,32,66,177.99333333333334,1
1,62.63999999999999,37,37,62.63999999999999,1
3,726.49,95,146,242.16333333333333,0
2,844.86,150,269,422.43,1
2,163.20000000000002,110,142,81.60000000000001,1
1,1212.26,61,61,1212.26,0
5,4299.56,53,271,859.912,0
1,108.21000000000001,183,183,108.21000000000001,1
1,257.7,111,111,257.7,1
1,160.95,135,135,160.95,1
12,2195.23,48,275,182.93583333333333,0
5,1018.45,8,153,203.69,0
1,304.24,246,246,304.24,0
1,1031.07,122,122,1031.07,1
1,439.23,16,16,439.23,0
2,318.85,73,270,159.425,0
1,329.56,171,171,329.56,1
4,648.7,6,275,162.175,1
3,270.40000000000003,22,123,90.13333333333334,1
1,585.12,113,113,585.12,1
1,121.74000000000001,2,2,121.74000000000001,1
5,1838.51,86,240,367.702,0
2,465.68,34,99,232.84,1
3,711.41,2,171,237.13666666666666,1
2,1030.4,66,249,515.2,1
1,225.7,283,283,225.7,0
1,198.87,115,115,198.87,0
2,944.1,178,195,472.05,1
1,200.29,173,173,200.29,1
23,4844.57,18,235,210.63347826086957,0
3,1450.66,93,183,483.55333333333334,0
8,2535.58,22,166,316.9475,0
15,3119.34,2,276,207.95600000000002,0
6,2117.81,79,177,352.9683333333333,0
8,2978.5,19,279,372.3125,0
1,590.0,276,276,590.0,1
1,138.98,23,23,138.98,1
1,137.38,9,9,137.38,0
2,125.9,26,43,62.95,0
3,798.46,32,247,266.15333333333336,1
2,773.1,72,130,386.55,0
1,25.5,95,95,25.5,0
1,201.19,240,240,201.19,1
3,1970.1,71,200,656.6999999999999,0
1,361.11,65,65,361.11,1
1,249.57,194,194,249.57,0
2,873.74,99,159,436.87,1
1,201.20000000000002,269,269,201.20000000000002,1
1,87.4,47,47,87.4,1
1,142.5,178,178,142.5,1
1,371.89,79,79,371.89,1
4,600.19,13,202,150.0475,1
1,63.75,65,65,63.75,1
1,300.42,261,261,300.42,1
8,1471.25,2,282,183.90625,0
1,15.0,30,30,15.0,1
1,814.95,113,113,814.95,0
2,546.64,116,218,273.32,0
2,817.65,116,234,408.825,0
1,490.11,60,60,490.11,0
3,918.34,51,249,306.11333333333334,0
2,3535.18,41,164,1767.59,0
5,1313.98,108,268,262.796,0
19,7390.47,1,275,388.9721052631579,0
3,981.15,16,123,327.05,0
7,3798.99,113,270,542.7128571428572,0
7,2738.75,22,275,391.25,0
1,1308.48,226,226,1308.48,1
1,304.2,276,276,304.2,0
3,1140.93,2,225,380.31,1
2,2708.59,100,215,1354.295,0
1,437.02,67,67,437.02,1
1,860.12,110,110,860.12,1
5,9229.54,15,186,1845.9080000000001,0
1,775.85,170,170,775.85,1
1,303.43,87,87,303.43,1
1,1656.15,187,187,1656.15,0
1,339.5,197,197,339.5,1
1,674.7,32,32,674.7,1
1,609.4,167,167,609.4,1
1,389.03,178,178,389.03,1
2,1581.53,155,197,790.765,0
1,700.6,127,127,700.6,0
2,573.4,166,247,286.7,1
1,258.28000000000003,275,275,258.28000000000003,1
1,754.87,281,281,754.87,1
2,2055.58,68,186,1027.79,0
3,869.76,9,144,289.92,1
1,136.29,46,46,136.29,0
4,2461.33,23,208,615.3325,0
1,222.99,190,190,222.99,1
2,1755.84,38,88,877.92,0
1,534.57,239,239,534.57,1
2,677.1,41,41,338.55,1
1,257.89,142,142,257.89,0
1,59.8,113,113,59.8,1
5,1543.45,25,219,308.69,0
1,307.72,95,95,307.72,1
1,387.27000000000004,229,229,387.27000000000004,0
4,1228.19,20,249,307.0475,0
1,457.34,102,102,457.34,1
2,621.23,37,282,310.615,1
1,217.81,122,122,217.81,0
2,557.45,114,227,278.725,1
41,17836.68,9,283,435.0409756097561,0
3,545.04,97,201,181.67999999999998,0
1,213.55,17,17,213.55,1
3,1390.5,43,206,463.5,1
1,236.0,115,115,236.0,0
15,4744.13,8,282,316.2753333333333,0
2,159.85,59,80,79.925,1
1,814.54,200,200,814.54,0
3,1624.21,18,204,541.4033333333333,1
5,1558.68,92,269,311.736,0
2,464.86,30,125,232.43,0
1,72.84,6,6,72.84,0
3,1088.1200000000001,20,99,362.7066666666667,0
4,2173.6,9,100,543.4,0
1,283.71,165,165,283.71,1
1,296.64,1,1,296.64,1
4,1423.26,128,283,355.815,0
4,1421.46,34,128,355.365,0
4,2385.5,36,244,596.375,0
2,590.0,169,180,295.0,1
2,356.97999999999996,75,199,178.48999999999998,1
1,692.94,276,276,692.94,0
3,855.0600000000001,65,117,285.02000000000004,0
10,7678.42,9,269,767.842,0
2,884.2,48,73,442.1,0
1,151.5,162,162,151.5,1
1,307.9,94,94,307.9,1
29,4739.02,2,283,163.4144827586207,0
2,165.0,9,25,82.5,1
1,241.26,242,242,241.26,0
1,226.84,146,146,226.84,1
4,1431.78,101,208,357.945,1
2,1238.47,88,191,619.235,1
4,899.55,48,201,224.8875,0
2,300.95,110,144,150.475,1
4,1361.33,18,166,340.3325,0
1,184.64,142,142,184.64,1
1,313.8,151,151,313.8,1
1,454.24,143,143,454.24,1
2,819.61,38,65,409.805,0
2,408.8,123,263,204.4,0
9,6596.38,30,277,732.9311111111111,0
4,449.52,15,204,112.38,1
9,1088.45,57,282,120.9388888888889,0
3,1269.84,46,124,423.28,1
2,498.63,185,197,249.315,1
1,316.26000000000005,221,221,316.26000000000005,1
3,1072.43,142,278,357.4766666666667,0
1,501.01,269,269,501.01,0
2,348.05,192,278,174.025,1
2,463.79,135,179,231.895,0
1,326.4,32,32,326.4,0
1,1340.32,198,198,1340.32,1
2,189.16,184,233,94.58,0
3,2143.12,76,142,714.3733333333333,0
2,458.52,226,279,229.26,1
3,2022.79,8,55,674.2633333333333,0
1,110.97,153,153,110.97,1
4,690.02,9,194,172.505,0
2,897.81,5,93,448.905,0
1,251.21,170,170,251.21,1
1,205.1,36,36,205.1,1
3,523.96,27,157,174.65333333333334,0
1,146.0,148,148,146.0,0
2,1612.18,16,89,806.09,0
5,2387.98,47,281,477.596,0
3,2369.24,109,276,789.7466666666666,0
3,408.86,11,129,136.28666666666666,0
1,282.88,158,158,282.88,0
4,1362.52,15,236,340.63,0
1,181.1,114,114,181.1,0
2,483.8,115,276,241.9,1
3,269.09,92,177,89.69666666666666,1
21,4371.53,17,268,208.16809523809522,0
6,990.75,4,225,165.125,0
2,315.65,150,219,157.825,0
1,113.01,150,150,113.01,0
1,182.26,110,110,182.26,0
2,678.16,6,153,339.08,1
5,762.05,52,152,152.41,0
1,91.80000000000001,229,229,91.80000000000001,1
9,2762.91,33,225,306.99,0
2,1590.05,111,111,795.025,0
1,240.68,190,190,240.68,0
1,141.85999999999999,125,125,141.85999999999999,1
2,1209.73,51,155,604.865,0
1,310.88,50,50,310.88,0
2,1174.03,264,278,587.015,1
1,110.17999999999999,244,244,110.17999999999999,0
1,187.05,83,83,187.05,1
1,109.82000000000001,277,277,109.82000000000001,0
1,239.49,153,153,239.49,1
7,1083.83,2,163,154.83285714285714,0
1,1384.25,115,115,1384.25,1
1,31.770000000000003,163,163,31.770000000000003,0
2,218.75,43,86,109.375,0
13,4840.9400000000005,6,283,372.38000000000005,0
3,1193.8,2,151,397.93333333333334,0
1,164.70000000000002,279,279,164.70000000000002,0
1,118.0,219,219,118.0,1
1,781.03,65,65,781.03,1
1,142.4,216,216,142.4,1
4,1420.72,9,165,355.18,0
1,147.0,89,89,147.0,0
4,1116.38,60,213,279.095,0
2,776.23,114,176,388.115,0
3,205.51,115,174,68.50333333333333,0
5,2011.88,18,246,402.37600000000003,1
8,2313.84,66,276,289.23,0
1,219.52,222,222,219.52,1
1,373.2,121,121,373.2,0
2,246.63,153,221,123.315,0
5,764.76,20,195,152.952,0
2,636.72,80,269,318.36,0
2,778.88,74,240,389.44,0
1,417.69,228,228,417.69,1
2,365.7,23,90,182.85,0
1,177.34,83,83,177.34,1
1,213.85,26,26,213.85,1
4,539.17,120,207,134.7925,0
1,257.23,162,162,257.23,1
3,1027.0,86,267,342.3333333333333,0
8,5718.36,9,248,714.795,0
5,1361.46,15,195,272.29200000000003,0
11,3070.42,9,177,279.1290909090909,1
3,812.26,83,153,270.75333333333333,0
3,755.97,16,237,251.99,0
4,646.55,32,195,161.6375,0
2,677.4,97,136,338.7,0
1,312.28,125,125,312.28,1
2,259.40000000000003,8,95,129.70000000000002,0
1,851.09,15,15,851.09,0
1,252.1,30,30,252.1,1
2,803.86,85,144,401.93,0
2,346.6,166,276,173.3,1
2,745.52,117,177,372.76,0
2,638.24,166,278,319.12,0
4,1714.27,55,183,428.5675,0
2,932.97,24,151,466.485,1
2,379.65,74,247,189.825,1
